kode_rs,nama_rs,alamat_rs,telepon_rs
3471373,RS Happy Land Medical Centre,Jl Ipda Tut Harsono No.53 Timoho Yogyakarta,0274-550060
3501016,RS Umum Daerah  dr. Darsono,Jl. Ahmad Yani 51 Pacitan,0357-881410
3502010,RS Umum Daerah Dr. Harjono S. Kabupaten Ponorogo,Jl. Raya Ponorogo-Pacitan Kel. Pakunden Kab. Ponorogo,0352-489262
3502112,RS Umum Aisyiyah Ponorogo,"Jl. Dr Sutomo 18 - 24, Ponorogo",0352-461560
3502123,RS Umum Darmayu Ponorogo,Jl. Dr. Sutomo No. 44 Ponorogo,(0352) 481320
3502134,RS Umum Muhammadiyah Ponorogo,Jl. Diponegoro No. 50 Ponorogo,0352 481273
3502145,RS Griya Waluya,Jl. Sultan Agung Nomor 68 Ponorogo,0352 481483
3503011,RS Umum Daerah dr. Soedomo Trenggalek,Jl. dr Sutomo Nomor 2 Trenggalek,0355-793110
3503022,RS Umum Budi Asih Trenggalek,Jl. Mayjen Sungkono Nomor 80 Trenggalek,0355794690
3504012,RS Umum Daerah Dr. Iskak Tulungagung,Jl. Dr. Wahidin Sudiro Husodo Tulungagung,0355-322609
3504045,RS Umum Islam Orpeha,Jl. KH. R. Abdul Fatah Batangsaren Kec. Kauman Kab. Tulungagung,0355 323186
3505013,RS Umum Daerah Ngudi Waluyo Wlingi,Jl. Dr. Sucipto No. 5 Wlingi,0342-691006
3506014,RS Umum Daerah Kabupaten Kediri,Jl. Pahlawan Kusuma Bangsa No. 1 Pare,0354-391718
3506025,RS Toelongredjo,"Jl. A Yani No. 25 Desa Tulungrejo, Kec. Pare, Kab. Kediri",(0354) 391047 /
3506036,RS Umum Amelia,Jl. Pahlawan No. 25A Pare Kediri,0354-394118
3507015, RS Bala Keselamatan Bokor,"Jl. A.Yani 91 Turen , Kab.Malang",0341-824453
3507026,RS Jiwa Dr. Radjiman Wediodiningrat Lawang,"Jl. A. Yani, Lawang, Malang, Jawa Timur",0341-429067
3579030,RS Umum Karsa Husada Kota Batu ,Jl. A.Yani No.10-13 Kota Batu,0341-596898
3507052,RS Umum Daerah Kanjuruhan Kepanjen,"Jl. Panji No. 100 Kepanjen, Kab. Malang",0341-395041
3579074,RS Baptis Batu,Jln. Raya Panglima Sudirman No. 33 Desa Tlekung Kec. Junrejo Kota Batu,(0341)594161
3508016,RS Daerah Dr. Haryoto Kabupaten Lumajang,"Jl. Basuki Rahmat No.5, Lumajang",0334-881666
3508053,RS Wijaya Kusuma,Jl. A. Yani No.149 Lumajang,0334-89410
3509010,RS Umum Daerah Dr. Soebandi,"Jl. Dr. Soebandi No.124, Jember",0331-487441
3509021,RS Perkebunan PTPN X (Persero) Jember,Jl. Bedadung No.2,0331-487104
3509032, RS Tk.III Baladhika Husada Jember,Jl. PB Sudirman No. 45 Jember,0331-484674
3509043,RS Paru Jember,Jl. Nusa Indah No. 28 Jember,0331-411781
3509101,RS Utama Husada Jember,"Jl. Manggar No.134 Tegalsari, Ambulu Jember",0336- 881187
3509112,RS Gigi dan Mulut Fakultas Kedokteran Gigi Jember,Jl. Kalimantan No. 37 Jember,(0331) 325401
3509123, RS Daerah Kalisat Jember,Jl. M.H.Thamrin No.31 Kalisat Jember,0331-591038
3509134, RS Daerah Balung Jember,"Jl. Rambipuji nomor 19, Balung Jember",0336-621595
3510010,RS Umum Daerah Blambangan,Jl. Letkol Istiqlah No. 49 Banyuwangi,0333-421118
3510021,RS Umum Bhakti Husada,Jl. Gajahmada No. 15 Jember,0333-821118
3510043, RS Umum Daerah Genteng,"Jl. Hasanudin No.98, Genteng, Banyuwangi",0333-845839
3510054,RS Islam Fatimah,"Jl. Jember nomor 25, Kelurahan Kalirejo, Kab. Banyuwangi",(0333) 425559
3510076,RS Yasmin,Jl. Letkol Istiqlah Nomor 80-84 Banyuwangi,0333-424671
3510091,  RS Islam Banyuwangi,Jl. Basuki Rachmat No. 129 Banyuwangi,0333-424118
3510102,RS Nahdlatul Ulama Banyuwangi,"Jl. Raya Mangir No. 9, Kec. Rogojampi, Banyuwangi",0333 632965
3511011,RS Umum dr. H.Koesnadi Bondowoso,Jl. Piere Tendean No. 3 Bondowoso,0332-421263
3512012, RS Umum Daerah dr. Abdoer Rahem Kabupaten Situbon,"Jl. Anggrek No. 68, Kel. Patokan, Kec. Situbondo, Kab. Situbondo",0338-671028
3513013,RS Umum Daerah Waluyo Jati Kraksaan,Jl. Dr. Soetomo No. 1 Kec. Kraksaan Kab. Probolinggo,0335-841160
3513024,RS Graha Sehat,Jl. Raya Panglima Sudirman No.2 B Kraksaan,0335-846500
3514025,RS Islam Masyithoh Bangil,Jl. A. Yani No. 6 Bangil- Kab. Pasuruan,0343-741018
3514036,RS Umum Daerah Bangil,Jl. Raya Raci - Bangil Kab. Pasuruan,0343-744900
3515015,RS Umum Daerah Sidoarjo,Jalan Mojopahit No. 667 Sidoarjo,031-8961649
3515026, RSU Siti Khodijah Muhammadiyah Cabang Sepanja,Jl. Pahlawan No .260 Sepanjang Sidoarjo,031-7882123
3515030,RS Umum  Pusdik Polri Porong ,JL. RAYA PORONG NO. 1 SIDOARJO,0343-852104
3515096,RS Umum Delta Surya,Jl. Pahlawan No 09 Sidoarjo,8962531
3515106,RS Islam Siti Hajar Sidoarjo,Jl. Raden Patah No. 70-72 Sidoarjo,031-8921233
3515110, RS Umum Jasem,Jl. Samanhudi No.85 A Sidoarjo,(031) 8962129
3516016,RS Umum Sumberglagah Mojokerto,Dsn. Sumberglagah Ds. Tanjungkenongo Kec. Pacet Mojokerto,0321690441
3516020,RS Umum Daerah Prof. Dr. Soekandar,Jl. Hayam Wuruk 25 Mojosari Kab. Mojokerto,0321-591591
3517010,RS Umum Daerah Kab. Jombang,"Jl. KH.W Hasyim 52, Jombang",0321-863502
3517021,RS Kristen Mojowarno,"Jl. Merdeka No.59 Mojowarno, Jombang",0321-495093
3517043,RS Ibu dan Anak Muslimat Jombang,Jl. Urip Sumohardjo No 34 Jombang,0321-872200
3517076,RS Umum Islam Jombang,Jl. Brig. Kretarto 22 A Jombang,0321-860074
3518011,RS Umum Daerah Nganjuk,"Jl. Dr. Sutomo 62, Nganjuk",0358-321818
3518022,RS Umum Daerah Kertosono,Jl. Panglima Sudirman No.16 Kertosono.,0358-5501604
3518033,RS Sumber Waras,Jl. Langsep No. 3 Desa Pelem RT 01 RW 07 Kec. Kertosono Kab. Nganjuk,556006
3519012,RS Paru Dungus,"Jl. Raya Dungus - Wungu, Madiun",0351 456735
3519023,RS Umum Daerah Caruban,Jl. A. Yani KM 2 Caruban Madiun,0351-383956
3520012,RS Umum Daerah dr. Sayidiman Magetan,Jl. Pahlawan No.2 Magetan,0351-895023
3521013,RS Umum Daerah Dr. Soeroto Ngawi,Jl. Dr Wahidin no: 27,0351-749023
3522014,RS Umum Daerah Dr. R. Sosodoro Djatikoesoemo,"Jl. Veteran No 36, Bojonegoro",0353-3412133
3522025,RS Umum Aisyiyah Bojonegoro,Jl. Hasyim Asyari 17 Bojonegoro,0353881748
3522036,RS Umum Muhamadiyah Sumberejo,Jl. Raya Sumberrejo 1193 Bojonegoro,331056
3522047,RS Umum Daerah Sumberrejo,"Jl. Raya No. 231 Sumberrejo, Bojonegoro",0353-331530
3522058,RS umum Daerah Padangan,"Jl. Dr. Soetomo No. 2 Padangan, Bojonegoro",(0353) 551666
3523015,RS Umum Daerah Dr. R. Koesma Tuban,Jl. dr. Wahidin Sudiro Husodo No. 800,0356-321010
3523041,RS Medika Mulia Tuban,Jl. Mojopahit 699 Tuban,(0356) 324618
3523052,RS Muhammadiyah Tuban,Jl. Diponegoro No.1 Tuban,"0356 321334,"
3524016,RS Umum Daerah Dr. Soegiri Lamongan,Jl. Kusuma Bangsa No. 7 Lamongan,0322-321718
3524020,RS Islam Nashrul Ummah,"Jl. Merpati No.62, Lamongan",0322 321522
3525010,RS Umum Daerah Ibnu Sina Kab. Gresik,Jl. Dr. Wahidin Sudirohusodo No. 243B Gresik,031-3951239
3525021,RS Semen Gresik,"Jl. R A Kartini No. 280 Kel. Tlogopatut Kec. Gresik, Kab. Gresik",031-3987840
3525043,RS Ibu dan Anak Nyai Ageng Pinatih Gresik,Jl. KH Abdul Karim 76-78 Gresik,(031)3981167
3525076,RS Petrokimia Gresik,"Jl. Jend. A. Yani No. 69 Kel. Ngipik, Kec. Ngipik, Kab. Gresik",(031)3978658
3525087,RS Denisa,Jl. Dr. Wahidin Sudirohusodo No.736,031-3950552
3526011,RS Umum Daerah Syarifah Ambami Rato Ebu,Jl. Pemuda Kaffa No. 9 Bangkalan,3091111
3527012,RS Umum Daerah Kab. Sampang,"Jl. Rajawali No. 10, Sampang",0323-323956
3528013,RS Umum Daerah Dr. H. Slamet Martodirdjo Pamekasan,"Jl. Raya Panglegur No.4, Pamekasan",0324-326242
3528024,RS Umum Larasati Pamekasan,Jl. Mandilaras No.74-80 Pamekasan,0324 3283505
3529014,RS Umum Daerah dr. H. Moh. Anwar ,Jl. Dr Cipto No. 42 Desa Kolor Kab. Sumenep,0328-662494
3529025,RS Islam Garam Kalianget,"Jl. Raya Kalianget No.1, Kab Sumenep",0328-667433
3571016,RS Umum Daerah Gambiran,Jl. KH. Wakhid Hasyim No. 64 Kota Kediri,0354-774494
3571020,RS TK. IV 05.07.02 Kediri,"Jl. Mayjen Sungkono No. 44, Kota Kediri",0354-687801
3571031,RS Umum Bhayangkara Kediri,Jl. Kombes Pol Duryat 17 Kediri,(0354) 671100
3571042,RS Baptis Kediri,Jl. Brigjen Pol IBH Pranoto No. 1-7 Kota Kediri,"684172, 682170"
3571053,RS Umum Daha Husada,"Jl. Veteran No. 48, Kediri",0354-771062
3571111,RS Ibu dan Anak Nirmala Kediri,Jl. Jaksa Agung Suprapto No. 5 Kediri,0354772963
3571122,RS Muhammadiyah Ahmad Dahlan,Jl. Gatot Subroto No. 84 Kediri,(0354) 773115
3572010,RS Umum Daerah Mardi Waluyo,"Jl. Kalimantan 113, Kota Blitar",0342-802118
3572021,RS Katolik Budi Rahayu,Jl. Jend. A. Yani 18 Kota Blitar,0342-801066
3572043,RS Umum Syuhada Haji,Jl. Tanjung No.12 Pakunden-Blitar,801607
3505054,RS Umum An-Nisaa,"Jl. Suparyono Timur No. 1, Bajang Talun Blitar",0342-692999
3573011,RS Umum Daerah Dr. Saiful Anwar,Jl. Jaksa Agung Suprapto No.2 Malang,0341-362101
3573022,RS Tk. II Dr. Soepraoen,Jl. Soedanco Supriyadi No. 22 Kota Malang,0341-325111
3573044,RS Umum Panti Nirmala,"Jl. Kebalen Wetan N0.2-8 Kedung Kandang, Kota Malang",362459
3573055,RS Umum Panti Waluya Sawahan Malang,Jl. Nusakambangan No.56 Kota Malang,0341-362017
3573066,RS Umum Lavalette Malang,Jl. WR. Supratman No.10 Kota Malang,482612
3507070, RS Marsudi Waluyo,"Jl. Raya Mondoroko Km. 09, RT 004 RW 003 Desa Purwoasri, Kec. Singosari, Kab. Malang",458974
3573135,RS Ibu dan Anak Muhammadiyah Malang,Jl. KH. Wahid Hasyim NO. 30 Malang,0341-326222
3507204,RS Umum Islam Gondang Legi,"Jl. Hayam Wuruk 66, Gondang Legi Wetan, Kab. Malang",879047 - 879879
3573215,RSU Islam Aisyiyah Malang,Jl. Sulawesi No 16 Malang,0341-326773
3573226,RS Islam Malang,Jl. MT. Haryono No. 139 Malang,(0341) 551356
3507230,RS Sumber Sentosa,"Jl. Kebonsari No. 221 Malang, RT 003, RW 002 Desa Tumpang, Kec. Tumpang, Kab. Malang",0341787233
3507241, RS Umum Islam Madinah Kasembon,"Jl. Raya Sukosari No.32, Kasembon, Kabupaten  Malang",0354 326688
3574012,RS Umum Daerah dr. Mohamad Saleh Kota Probolinggo,Jl. Mayjend Panjaitan No.65 Kota Probolinggo,0335-433119
3574023,RS Umum Dharma Husada,Jl. Sukarno Hatta No. 10 Kota Probolinggo,422177
3575013,RS Umum Daerah Dr. R. Soedarsono Kota Pasuruan,Jl. Dr Wahidin Sudirohusodo No. 1-4 Kota Pasuruan,(0343) 421073
3576014,RS Umum Dr. Wahidin Sudiro Husodo Kota Mojokerto,"Jl. Raya Surodinawan Kel. Surodinawan, Kec. Prajurit Kulon, Kota Mojokerto",0321-322194
3576040,RS Reksa Waluya,"Jl. Mojopahit 422, Kel. Miji, Kec. Prajurit Kulon, Kota Mojokerto",0321.322170
3576051,RS Islam Hasanah Muhammadiyah ,"Jl. HOS Cokroaminoto No. 26-28, Kel. Jagalan, Kec. Magersari, Kota Mojokerto",0321-321635
3516062,RS Islam Sakinah,"Jl. RA Basuni No.12, Kec. Sooko, Kab. Mojokerto",321922
3516073,RS Umum Daerah Raden Achmad Basoeni,"Jl. Raya Gedeg No.17, Kec. Gedeg, Kab.Mojokerto",(0321) 364752
3577015,RS Umum Daerah Dr. Soedono Madiun,"Jl. Dr. Soetomo 59, Madiun",0351-454657
3577026,RS Umum Santa Clara,"Jl. Biliton No. 15  Kel.Madiun Lor, Kec.Mangunharjo, Kota Madiun",0351-462688
3577030,RS Umum TNI AD Tk. IV 05.04.01 Kota Madiun,Jl. Pahlawan No. 79 Kartoharjo Madiun,0351-454787
3577074,RS Umum Islam Siti Aisyah,"Jl. Mayjen SungkoNo. 38 Kel. Nambangan Lor, kec. Mangunharjo, Kota Madiun",0351-464822
3577085,RS Umum Daerah Kota Madiun,Jl. Campursari No.12B Madiun,0351-481314
3578016,RS Umum Daerah Dr. Soetomo,"Jl. Mayjend. Prof. Dr. Moestopo No. 6 - 8 Surabaya, Jawa Timur",031-5501001
3578020,RS dr. Ramelan,Jl. Gadung No. 1 Surabaya,031-8438153
3578031,RS William Booth Surabaya,"Jl. Diponegoro 34, Surabaya",031.5678917
3578042,RS Umum Katholik Surabaya,"Jl. Diponegoro 51,Surabaya",031-5677562
3578053,RS Darmo,"Jl. Raya Darmo 90,Surabaya",031-5676253
3578064,RS Adi Husada Undaan,"Jl. Undaan Wetan No. 40-44, Surabaya",031-5318000
3578086,RS Primasatya Husada Citra (PHC) Surabaya,Jl. Prapat Kurung Selatan no 1 Tanjung Perak Surabaya,031-3294801-3
3578090,RS TNI AL Dr. Oepomo,Jl. Laksda M.Nazir No.56 Surabaya,031-3293536
3578100,RS Umum Adi Husada Kapasari,Jl. Kapasari No. 97-101 Surabaya,031-3764555
3578111,RS Islam Surabaya,Jl. Jend A Yani 2-4 Surabaya,031-8284505
3578122,RS Umum Tk. III Brawijaya,Jl. Kesatrian No.17 Surabaya,(031) 5682088
3578144,RS Marinir Ewa Pangalila Gunungsari,Jl. Golf  No. 1 Surabaya,5678094
3578166,RS Soemitro Lanud Moeljono Surabaya,Jl.Serayu No. 17 Surabaya,5676662
3578192,RS Jiwa Menur,Jl. Menur No. 120 Surabaya,031-5021635
3578202,RS Mata Undaan,Jl. Undaan Kulon 17-19 Surabaya,031-5319619
3578261,RS Ibu dan Anak IBI Surabaya,Jl. Dupak No. 15A Surabaya,031 - 5323837
3578443,RS Umum Siloam Hospitals Surabaya,Jl. Gubeng Raya 70 Surabaya,031-5031333
3578476,RS Umum Al-Irsyad Surabaya,Jl. KHM.Mansyur No. 210 - 214 Surabaya,031-3531223
3578523,RS Umum Haji Surabaya,Jl. Manyar Kertoadi  Surabaya,031-5924000
3578556,RS Premier Surabaya,Jl. Nginden Intan Barat Sby,031-5993211
3578560,RS Husada Utama Surabaya,Jl. Prof. Dr. Moestopo 31-33-35 Surabaya,5017975
3578571,RS Umum Daerah dr. Mohamad Soewandhie,Jl. Tambakrejo No. 45-47 Surabaya,3717141
3578582,RS Umum  Mitra Keluarga Surabaya,Jl. Satelit Indah II darmo satelit,031-7345333
3578593,RS Ibu dan Anak Pura Raharja,Jl. Pucang Adi No.12 - 14 Surabaya,031 5019898
3578603,RS Gotong Royong,Jl. Medokan Semampir Indah No. 97 Surabaya,5939693
3578614,RS Bhakti Rahayu,Jl. Ketintang Madya I/16 Surabaya,031-8295922
3578625,RS Gigi dan Mulut FKG Universitas Airlangga,Jl. Prof Dr Moestopo 47 Sby,5053196
3578731,RS Gigi dan Mulut Nala Husada,FKG Hang Tuah Surabaya,031 - 5952491
3578742,RS Islam Darus Syifa,"Jl. Raya Benowo No.5,Surabaya",7406293
3578753,RS Onkologi,Jl. Arief Rahman Hakim No. 184 Surabaya,031-5914855
3578764,RS Bhayangkara TK II HS. Samsoeri Mertojoso,"Jl. A. Yani No.116, Surabaya",0318292227
3602011,RS Umum Daerah Dr. Adjidarmo,Jl. Iko Jatmiko No.1 Rangkasbitung,(0252)201313
3603023,RS  Q a d r,"Komp Islamic Village, Karawaci, Kelapa Dua, Tangerang",021-5464466
3603034, RS Ibu dan Anak Lestari,Jl. Cirendeu Indah III/37 Ciputat Tangerang,7401505
3674056,RS Islam Asshobirin,Jl Raya Serpong Km 11 Pondok Jagung Tangerang Selatan,5384314
3603060,RS Bhineka Bakti Husada,"Jl. Cabe Raya No.17 Pondok Cabe, Pamulang Tangerang",0217490829
3674071,RS Khusus Jiwa Dharma Graha,Jl. Raya Astek No.17 Lengkong Gudang Timur Serpong,5388427
3603082,RS Ichsan Medical Center,"Jl.Raya Jombang No.56,Bintaro Jaya, Jombang - Ciputat - Tangerang Selatan",0217456379
3603093,RS Ibu dan Anak Putra Dalima,"Bumi Serpong Damai Sektor 1-2 Blok K/5-UA/26-27,Tangerang",(021)5388279
3603104,RS Ibu dan Anak Selaras,"Jl. Raya Serang KM.18,5 Desa Bojong, Kec.Cikupa Kab.Tangerang",0215969145
3603115,RS Omni,"Jl. Alam Sutera Boulevard Kav.25,Tangerang",29779999
3671126, RS Umum Aminah ,"Jl. Hos Cokroaminoto No.4 A, Kreo Selatan",021-7371919
3604013,RS Umum Daerah dr. Drajat Prawiranegara ,Jl. Rumah Sakit No. 1 Serang,200528
3604024,RS Tk.IV Kencana Serang,Jl. A Yani 23 Serang,0254-211554
3604035,RS Budiasih,Jl. KH Sohari No.39 Serang,0254-212484
3604046,RS Bedah Benggala,"Jl. Yusuf Martadilaga No.56,Serang",0254209516
3603010,RS Umum Daerah Kabupaten Tangerang,"Jl. A Yani No. 9 Tangerang, Kota Tangerang",021-5523507
3671021,RS Daan Mogot,"Jl. Daan Mogot No. 59, Kota Tangerang",021-5523551
3671032,RSUP Dr. Sitanala Tangerang,Jl. Dr Sitanala No. 99 Kota Tangerang,021-5523059
3671043,RS Sari Asih Karawaci,Jl. Imam Bonjol No 38 Karawaci Sukajadi Kota Tangerang,021-5522794
3671054, RS Siloam Hospitals Lippo Village,Jl. Siloam Lippo Karawaci Tangerang,021 5460055
3671065,RS EMC Tangerang,Jl. KH. Hasyim Ashari No.24 Tangerang,021.55754335
3671076,RS An-Nisa ,Jl. Gatot Subroto No 96 Km 3 Kel. Uwung Jaya Kec. Cibodas Tangerang,021-5525564
3671080, RS  Mayapada,Jl. Honoris Raya Kav.6 Tangerang,021-55781888
3671091, RS Ibu dan Anak Keluarga Ibu,"Jl.Benua Indah No.58,Pabuaran Tumpeng - Tangerang",5520218
3674102,RS Premier Bintaro,"Jl. MH Thamrin No.1 Sektor 7 Bintaro Jaya,Tangerang",7455500
3674113, RS Eka,"Central Business Distric Lot IX, BSD City.",25655555
3671124, RS Melati,"Jl. Merdeka No. 92,Tangerang",5523945
3671135,RS Mulya,"Jl.KH. Hasyim Ashari No.18 Sudimara Pinang, Pinang",021-7322445
3671146,RS Umum Bhakti Asih,"Jl. Raden saleh No.10 Karang Tengah, Tangerang",7305662/7305663
3672011,RS Krakatau Medika,Jl. Semang Raya,0254-396333
3672022,RS Umum Daerah Kota Cilegon,Jl. Kapten P. Tendean Km.3 Cilegon,0254-330461
3672034,RS Kurnia,"Jl. Jombang Masjid No.4, Cilegon",0254-391161
5101016,RS Umum Daerah Negara,Jl. Wijaya Kusuma 17 Negara,0365-41006
5101053,RS Umum Kertayasa,Jl. Ngurah Rai 143 Negara,0365-41248
5102010,RS Umum Daerah Tabanan,Jl. Pahlawan No. 14 Tabanan,0361-811027
5102021,RS Umum Dharma Kerti,Jl. Teratai 16 Tabanan,811424
5103021,RS Khusus Bedah BIMC,"Jl. By Pass Ngurah Rai No.100X, Kuta - Badung",0361-761263
5104012,RS Umum Daerah Sanjiwani Gianyar,Jl. Ciung Wenara No.2 Gianyar,0361-943049
5105013,RS Umum Daerah Klungkung,Jl. Flamboyan No. 40 Semarapura,0366-21172
5106014,RS Umum Daerah Kabupaten Bangli,Jl. Brigjen Ngurah Rai No. 99X Bangli,0366-91521
5106025,RS Jiwa Provinsi Bali,Jl.Kusuma Yudha No. 29 Bangli,0366-91073
5107015,RS Umum Daerah Karangasem,"Jl. Ngurah Rai,No.58 Amlapura",0363-21470
5108016,RS Umum Daerah Kab. Buleleng,Jl. Ngurah Rai 30 Singaraja,0362-22046
5108020,RS Tk.IV Singaraja,Jl. Ngurah Rai No. 70 Singaraja,(0362) 21921
5108031,RS Umum Kertha Usadha,Jl. Cendrawasih No.5-7 Singaraja,0362-26277
5108042,RS umum Karya Dharma Husada,Jl. Yudistra No. 7 Singaraja,0362-21890
5171016,RSUP Sanglah,Jl. Diponegoro Denpasar Bali,0361-227911
5171020,RS Umum Daerah Wangaya,Jl. Kartini No.133 Denpasar,0361-222141
5171031,RS TK. II  Udayana,Jl. P.B Sudirman No.1 Denpasar,(0361) 228061
5171053,RS Umum Manuaba,Jl. Cokroaminoto 28 Denpasar,0361-437143
5171064,RS Khusus Mata Bali Mandara,Jl. Angsoka No. 8 Denpasar,0361-243350
5171086,RS Umum Surya Husadha,"Jl. Pulau Serangan No.7, Denpasar",0361-233787
5171111,RS Umum Kasih Ibu,"Jl. Teuku Umar 120,Denpasar",0361-3003030
5171122,RS Umum Dharma Yadnya,"Jl. WR.Supratman 256,Denpasar",0361-462629
5171133,RS Umum Puri Raharja,Jl. WR Supratman 14,0361-222013
5171155,RS Umum Bhakti Rahayu,Jl. Gatot Subroto II /11 Denpasar,0361-430270
5171166,RS Ibu dan Anak Harapan Bunda,Jl. Tukad Unda No. 1 Denpasar,0361-265533-34
5171170,RS Umum Graha Asih,Jl. IG Ngurah Rai 33 Kuta Bali,764860
5171181,RS Gigi dan Mulut Saraswati Denpasar,Jl. Kamboja 11A Denpasar,
5171192,RS Umum Prima Medika,Jl. Raya Sesetan No.10 Kota Denpasar,0361-236225
5171203,RS Umum Balimed,"Jl.Mahendradatta No.57,Denpasar Bali",0361-484748
5171215,RS Ibu dan Anak Puri Bunda,"Jl. Gatot Subroto VI /19, Denpasar",437999
5201010,RS Umum Daerah Patut Patuh Patju,Jl. H. Lalu Anggrat BA No. 2 Gerung,0370-681321
5202011,RS Umum Praya,"Jl. H. Lalu Hasyim, Kelurahan Tiwu Galih, Praya",0370-6635050
5202022,RS Islam Yatofa,Jl. Raya Bodak - Mantang KM. 7 Praya Lombok Tengah Nusa Tenggara Barat,
5203012,RS Umum Daerah Dr. R. Soedjono Selong,"Jl. Prof M Yamin, SH. No. 55 Selong",(0376)21683
5204013,RS Umum Sumbawa Besar,Jl. Garuda No. 5 Sumbawa Besar,0371-21929
5205014,RS Umum Dompu,"Jl. Kesehatan No. 1 Dompu, NTB",0373-21411
5206015,RS Umum Bima,Jl. Langsat No. 1 Raba Kota Bima,0374-43142
5271010,RS Umum Daerah NTB,Jl. Prabu Rangkasari Dasan Cermen,0370-7502424
5271021,RS Angkatan Darat REM Wira Bhakti Mataram,Jl. HOS Cokroaminoto 7 Mataram,0370-631280
5271032,RS Islam Siti Hajar,Jl. Catur Warga Mataram,0370-623498
5271043,RS Umum Khatolik Saint Antonius  Ampenan,Jl. Koperasi 61 Ampenan Utara,0370-636767
5271054,RS Jiwa Mutiara Sukma,"Jl. A Yani no. 1 Selagalas Cakranegara, Mataram",0370-672140
5271065,RS Bhayangkara Mataram,"Jl. Langko No.64,Mataram",0370-629185
5271076,RS Risa Sentra Medika,Jl. Pejanggik No.115 Cakranegara Mataram,0370-625560
5301011,RS Kristen Lende Moripa,Jl. El Tari No.2 Waikabubak,0387-21085
5301022, RS  Karitas Weetabula,Jl. Bulgur No 1 - Weetebula,0387 - 2524027
5301033, RS Umum Waikabubak,"Jl. Adhyaksa, Km.3, Kel. Diratana, Kec. Loli, Waikabubak",(0387) 21701
5302012, RS Kristen Lindimara,"Jl. Prof.DR WZ. Johannes No.6,Waingapu",0387-61064
5302023,RS Umum Daerah Waingapu,Jl. Adam Malik No.54 Kel. Kambajawa - Kecamatan Kota Waingapu,(0387)61302
5302034, RS Umum Imanuel Sumba,"Jl. Nangka No.4,Waingapu-Sumba Timur",(0387)62890
5304014,RS Umum Soe,Jl. Boegenville No.7 Soe - Timor Tengah Selatan,0388-21005
5305015,RS Umum Daerah Kefamenanu,Jl. Letjen Suprapto Kefamenanu,(0388)31121
5306016, RS Umum Daerah MGR Gabriel Manek,Jl. Dr Sutomo No.2 Atambua,(0389)2513137
5306020,RS Katholik Marianum Halilulik,"Jl. Paroki Roh Kudus, Halilulik Kab.Belu",082339512300
5306031, RS Sito Husada,"Jl. KH.Dewantara No.15,Atambua Belu",(0389)21700
5306042,RS Umum Penyangga Perbatasan Betun,Jl. Sukabihanawa Desa Kamanasa Kec.Malaka Tengah,081321596129
5307010,RS Umum Daerah Kalabahi,Jl. Dr Sutomo Kalabahi Kab. Alor,038621008
5307021, RS Bergerak Kab.Alor,"Jln. MASANG, RT 08 RW 04 KEL. WELAI TIMUR, KEC. TELUK MUTIARA, KAB. ALOR",085337214787
5309012,Rumah Sakit Umum Daerah dr. Hendrikus Fernandez La,Jl. Jend. Sudirman No. 33 Kel. Sarotari Tengah Larantuka Flores Timur,(0383)21836
5308023, RS  Bukit Lewoleba,Jln Trans Atadei Kel.Lewoleba Barat,0383-2343062
5309034,RS Damian Lembata,Kab Lembata,41026
5308045, RS Umum Daerah Lewoleba,"Jl.Trans Lembata No.1,Lewoleba,Lembata",0383 2343442
5310012, RS Umum Dr TC Hillers Maumere,Jl.Wairklau - Maumere,0382-2426133
5310023, RS St Elizabeth Lela,"Lela Maumere,Kab.Sikka",081353782435
5311013, RS Umum Daerah Ende,Jl. Prof Dr. WZ.Johanes Ende,0381-2627100
5311024, RS St Antonius Jopu,"JLN. WOLOWARU-NGGELA RT 018/RW 009, DESA JOPU, KEC. WOLOWARU",081319656784
5312014, RS Umum Bajawa,"Jl. Diponegoro No. 5, Bajawa",(0384)21030
5313015,RS Umum Daerah dr. Ben Mboi Ruteng,"Jl. DR.Soetomo No.1 Ruteng, Kab. Manggarai",21389
5313026, RS  ST Rafael Cancar,"Jl. Ruteng -  Labuan Bajo- Cancar Ruteng,Kab.Manggarai",085239810401
5371011, RS Umum Prof Dr WZ Johanes,Jl. Dr Moch Hatta No. 19 Kupang,0380833614
5303022, RS Tk.IV Wirasakti Kupang,"Jl. Dr.DR.Moch Hatta No.9-11 ,Kupang",(0380) 21131
5303033, RS Bhayangkara,Jl. Nangka No. 84 Kupang,0380 821273
6172011,RS Umum Daerah Dr. Abdul Aziz Singkawang,"Jl. Dr Soetomo No. 28, Singkawang",0562-631798
6101022,RS Umum Daerah Sambas,Jl. Pendidikan Sambas Tumuk Manggis Sambas,0562-391020
6101033,RS Umum Daerah Pemangkat,Jalan. Abdul Kadir Kasim No. 20 Pemangkat,0562-241040
6172044,RS Tk. IV 12.07.01 Singkawang,Jl. Perwira No. H15 Singkawang,0562-631427
6102055,RS Umum Bethesda Serukam,Serukam Kec. Samalantan Kab. Bengkayang,0562-637019
6172066,RS Jiwa Provinsi Kalimantan Barat,Jl. Raya Singkawang Bengkayang KM 17 Singkawang,0562-640098
6172070,RS Kusta Alverno Singkawang,Jl. Gunung Sari No. 70 Singkawang,0562-632634
6172124,RS Umum Harapan Bersama Singkawang,Jl. P. Belitung No. 61 Singkawang,0562-631791
